Disease Name,Orphanet,ICD-10,ICD-10 Description,ICD Specificity,Prevalence Range per 100k,Prevalence Estimate per 100K,Typical Age of Onset,GIC hits via API for broader,GIC hits via API for specific,Justification
Medium-chain acyl-CoA dehydrogenase deficiency (MCADD),ORPHA:42,E71.3; E71.311,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism; Medium chain acyl CoA dehydrogenase deficiency,Broad; Specific,10 to 50,5.9,Neonatal,,2150,"Medium-chain acyl-CoA dehydrogenase deficiency (MCADD), a fatty-acid oxidation disorder, can cause sudden infant death or severe metabolic crises. Missed cases face repeated diagnostic delays and dangerous hypoglycemic episodes. Early detection through newborn screening or AI-driven identification of unexplained hypoketotic hypoglycemia enables immediate dietary management, preventing catastrophic outcomes"
Carbamoyl phosphate synthetase I deficiency (CPS1),ORPHA:147,E72.2,"Disorder of urea cycle metabolism, unspecified",Specific,0.9 to 9,0.1-0.2,Neonatal,,,"Carbamoyl phosphate synthetase I deficiency (CPS1), a urea cycle disorder, often presents as fatal neonatal hyperammonemic coma or mimics sepsis, delaying diagnosis. Early recognition enables ammonia management and liver transplant considerations. AI-driven alerts for elevated ammonia levels in neonatal encephalopathy can prompt rapid diagnosis, significantly improving survival outcomes"
Glutaric aciduria type (GA1),ORPHA: 25,E72.3,Disorders of lysine and hydroxylysine metabolism,Broad,0.9 to 9,1,Infancy,,,"Glutaric aciduria type 1 (GA1) is an organic acidemia often misdiagnosed as non-accidental injury due to macrocephaly and acute dystonia following mild illness. Early newborn screening prevents neurodegeneration through dietary management. AI can help distinguish GA1-related subdural hematomas (from stretched veins) from abuse, improving diagnosis and patient safety."
Salla disease (free sialic acid storage),ORPHA:309331; ORPHA:309334,E77.8,Other disorders of glycoprotein metabolism,Broad,0.9 to 9,<0.1,Infancy,,,"Salla disease is a rare Finnish-founder lysosomal storage disorder causing early hypotonia, developmental delays, and intellectual disability. Diagnosis outside endemic regions is often delayed. AI detection of characteristic clinical features and MRI findings could prompt timely genetic testing, enabling earlier supportive therapies and facilitating informed family planning."
Wilson disease,ORPHA:905,"E83, E83.01",Disorders of mineral metabolism; Wilson Disease,Broad; Specific,0.9 to 9,3,Childhood/Adolescence,,,"Wilson disease is hereditary copper accumulation presenting with adolescent liver disease or neuropsychiatric symptoms, often misdiagnosed as hepatitis or behavioral disorders. Early diagnosis via AI analysis of liver enzymes, neurological features, and text mentioning or images showing Kayser-Fleischer rings enables timely chelation treatment, preventing liver transplantation and irreversible neurologic injury"
Menkes disease,ORPHA:565,E83.0,Disorders of mineral metabolism,Broad,0.9 to 9,2-3,Infancy,,,"Menkes disease is an X-linked copper transport disorder often misdiagnosed as cerebral palsy or failure to thrive until characteristic kinky hair is recognized. Early copper injections can significantly improve outcomes. AI analysis of seizures, subdural hemorrhages, and hair abnormalities (pili torti) in clinical notes could prompt timely diagnosis and intervention."
X-linked adrenoleukodystrophy (X-ALD),ORPHA:43,E71.52,X-linked adrenoleukodystrophy,Specific,0.9 to 9,7,Childhood,,,"X-linked adrenoleukodystrophy (X-ALD) presents initially as childhood adrenal insufficiency (Addison’s disease), followed by progressive neurodegeneration; this endocrine-neurologic link is often overlooked. Early diagnosis via VLCFA tests or newborn screening enables timely stem-cell therapy. AI integrating adrenal symptoms and school performance data could accelerate X-ALD detection, preventing irreversible neurological declin"
Leigh syndrome (subacute necrotizing encephalopathy),ORPHA:255210; ORPHA:255249; ORPHA:70474; ORPHA:255199,G31.8; G31.82,Other specified degenerative diseases of nervous system; Leigh's disease,Broad; Specific,0.9 to 9,3,Infancy,,,"Leigh syndrome is a devastating mitochondrial disorder with infantile regression, hypotonia, and brainstem signs, often misdiagnosed as cerebral palsy or idiopathic encephalopathy. Early identification enables supportive care and informed family planning. AI detection of recurrent metabolic crises and distinctive MRI findings can reduce diagnostic delay, improving patient outcomes."
Pompe disease (Glycogen storage type1),ORPHA:365;ORPHA:308552;ORPHA:420429,E74; E74.02,Other disorders of carbohydrate metabolism; Pompe disease,Broad; Specific,0.9 to 9,2,Infancy,,,"Infantile-onset Pompe causes cardiomyopathy and hypotonia; late diagnosis historically meant death by age 1. Newborn screening or early suspicion (cardiomegaly on X-ray, elevated CK) allows enzyme replacement therapy to save lives. In unscreened areas, AI scanning for hypertrophic cardiomyopathy plus profound hypotonia in an infant can prompt testing for Pompe before irreversible damage."
Mucopolysaccharidosis type1 (Hurler syndrome),ORPHA:93473,E76.0,Mucopolysaccharidosis type 1,specific,0.9 to 9,1,Infancy,,,"Hurler syndrome (MPS I) often remains undiagnosed despite newborn screening, due to subtle early signs (ENT infections, hernias, skeletal issues). Early recognition enables timely stem-cell transplantation, preventing irreversible cognitive decline. AI-driven aggregation of multisystem clinical notes can efficiently identify these subtle manifestations, significantly shortening diagnostic delays"
Mucopolysaccharidosis type III (Sanfilippo syndrome),ORPHA:581; ORPHA:79269; ORPHA:79270; ORPHA:79271; ORPHA:79272 ,E76.2;E76.22,Other mucopolysaccharidoses; Sanfilippo mucopolysaccharidoses,Broad; Specific,0.9 to 9,1,Toddlerhood,,,"Sanfilippo syndrome (MPS III) often faces diagnostic delay as initial symptoms (hyperactivity, speech delay) mimic autism or ADHD, with recognition only after neurodegeneration begins. Early molecular diagnosis significantly informs family planning and supportive care. AI-driven detection of subtle regression and behavioral changes facilitates timely differentiation from common developmental disorders"
Smith-Lemli-Opitz syndrome (SLOS),ORPHA:818,Q87.1; E78.72,Congenital malformation syndromes predominantly associated with short stature; Other congenital malformation syndromes predominantly associated with short stature; Smith-Lemli-Opitz syndrome,Broad; Specific,0.9 to 9,5,Infancy,,,"Smith-Lemli-Opitz syndrome (SLOS), a cholesterol synthesis disorder, often faces delayed diagnosis due to diverse symptoms (malformations, hypotonia, autism-like traits) managed separately. Early identification enables cholesterol supplementation and genetic counseling. AI-driven analysis of clinical notes (growth failure, photosensitivity, subtle anomalies) can rapidly suggest SLOS, expediting diagnosis and intervention"
Cystinosis (nephropathic),ORPHA:213; ORPHA:411629; ORPHA:411634 ,E72.1 E72.04,Disorders of sulfur-bearing amino-acid metabolism; Cystinosis,"Broad, Specific",0.9 to 9,0.5-1,Infancy,,,"Nephropathic cystinosis, causing Fanconi syndrome and progressive kidney damage, frequently evades early diagnosis due to nonspecific initial symptoms (poor growth, polyuria). Prompt recognition through genetic or ophthalmic testing enables critical cysteamine therapy. AI-driven analysis of recurrent infantile aminoaciduria and phosphaturia can rapidly identify cystinosis, significantly preserving renal function"
Isolated growth hormone deficiency (IGHD),ORPHA:73272,E23.0; E34.321,"Combined pituitary hormone deficiencies, genetic forms; Primary insulin-like growth factor-1 (IGF-1) deficiency","Broad, Specific",10 to 50,10-25,Childhood,,,"Isolated growth hormone deficiency (IGHD) often remains undiagnosed, mistaken as familial short stature or malnutrition. Delayed identification compromises optimal growth outcomes. Early detection via growth patterns and MRI imaging significantly improves height prognosis. AI-driven analysis of pediatric growth data and clinical notes can rapidly identify subtle growth discrepancies, triggering timely evaluation"
Beckwith-Wiedemann syndrome,ORPHA:116;ORPHA:231127;ORPHA:96076;ORPHA:231130;ORPHA:231120;ORPHA:231117;ORPHA:238613;ORPHA:96193,Q87.3,Congenital malformation syndromes involving early overgrowth,Broad,10 to 50,8-10,Neonatal,,,"Beckwith-Wiedemann syndrome, an imprinting disorder causing macroglossia and hemihypertrophy, often remains undiagnosed until tumors or hypoglycemia occur. Early detection significantly improves tumor surveillance and metabolic management. AI-driven analysis of neonatal records (macrosomia, neonatal hypoglycemia, umbilical hernia) can rapidly identify subtle phenotypes, ensuring timely intervention"
Prader-Willi syndrome,ORPHA:739; ORPHA:177910; ORPHA:98754; ORPHA:98754; ORPHA:98754; ORPHA:98754; ORPHA:98754; ORPHA:98754,Q87.1; Q87.11,; Prader-Willi,"Broad, Specific",10 to 50,5-10,Infancy,,,"Genetic imprinting syndrome characterized by neonatal hypotonia and later hyperphagia is often not diagnosed until obesity is established, as early failure to thrive and weak cry may not be recognized as a syndrome. Early diagnosis permits dietary interventions, newly approved treatment for hyperpahgia, and growth hormone therapy. NLP could flag the transition from neonatal feeding difficulties to toddler excessive eating in records to suggest PWS."
Russell-Silver syndrome,ORPHA:813; ORPHA:231137;ORPHA:231140; ORPHA:231147; ORPHA:96182,Q87.1; Q87.19,Congenital malformation syndromes predominantly associated with short stature; Other congenital malformation syndromes predominantly associated with short stature,Broad,0.9 to 9,2-3,Infancy,,,"Russell-Silver syndrome, characterized by severe intrauterine growth restriction, postnatal short stature, and body asymmetry, often remains misdiagnosed as generic failure-to-thrive. Early recognition enables critical growth hormone therapy and targeted developmental interventions. AI-driven analysis of persistent growth failure and limb-length discrepancy patterns in clinical records accelerates accurate diagnosis."
Congenital hyperinsulinism,ORPHA:79299; ORPHA:263455; ORPHA:657 ,P70.8,Other transitory disorders of carbohydrate metabolism of newborn,Broad,0.9 to 9,2-4,Neonatal,,,"Congenital hyperinsulinism often faces diagnostic delays as recurrent neonatal hypoglycemia episodes are misattributed to feeding issues or sepsis, risking irreversible brain injury. Early detection facilitates life-saving diazoxide or surgical intervention. AI-driven pattern recognition of persistent hypoglycemia in NICU records can rapidly flag hyperinsulinism, prompting critical early intervention"
Hirschsprung disease,ORPHA:388,Q43.1,Hirschsprung disease,Specific,10 to 50,20,Neonatal,,,"Hirschsprung disease, a congenital disorder causing colonic obstruction, often faces delayed diagnosis due to subtle early signs misinterpreted as functional constipation. Prompt diagnosis via rectal biopsy allows early surgical intervention. AI-driven identification of chronic constipation and failure-to-thrive patterns in pediatric records can expedite accurate diagnosis, reducing serious complications"
Biliary atresia,ORPHA:30391,Q44.2,Isolated biliary atresia,Specific,10 to 50,7-10,Neonatal,,,"Biliary atresia, presenting as neonatal cholestatic jaundice, often faces delayed diagnosis, causing irreversible liver damage and reducing transplant-free survival. Early detection via stool color screening allows timely Kasai surgery. AI-driven monitoring of persistent neonatal jaundice patterns in EHRs facilitates rapid identification, ensuring critical early intervention"
Alagille syndrome,ORPHA:52; ORPHA:261600; ORPHA:261619; ORPHA:261629,Q44.7; Q44.71,Other congenital malformations of liver; Alagille syndrome,Specific,0.9 to 9,1,Infancy,,,"Alagille syndrome, an autosomal dominant disorder with bile duct paucity, cardiac anomalies, and distinctive facies, often faces delayed diagnosis as symptoms are managed separately. Early detection significantly improves cardiac and hepatic outcomes. AI-driven integration of infant cholestasis, vertebral defects, and characteristic facial features facilitates prompt recognition and targeted care"
Shwachman-Diamond syndrome,ORPHA:811,D61.09; D61.02 ,Other constitutional aplastic anemia; Schwachman-Diamond,Specific,0.9 to 9,1.3,Infancy,,,"Shwachman-Diamond syndrome, an autosomal recessive disorder causing bone marrow failure and pancreatic insufficiency, is frequently misdiagnosed as cystic fibrosis or idiopathic neutropenia. Early recognition ensures timely transfusion support and cancer surveillance. AI-driven analysis of infections, enzyme prescriptions, and growth concerns rapidly identifies characteristic clinical patterns, enabling prompt diagnosis."
Alpha-1 antitrypsin deficiency,ORPHA:60,E88.01,Alpha-1-antitrypsin deficiency,Specific,10 to 50,20-50,Infancy,,,"Alpha-1 antitrypsin deficiency, causing neonatal cholestasis and childhood cirrhosis, frequently remains undiagnosed until adult-onset lung disease emerges. Early recognition prevents severe liver and lung complications through targeted surveillance. AI-driven NLP analysis of persistent mild liver enzyme elevations and early pulmonary changes accelerates identification, enabling timely clinical interventions"
Chronic intestinal pseudo-obstruction (CIPO),ORPHA:2978,K59.8,Other specified functional intestinal disorders,Broad,0.9 to 9,0.9,Infancy/Childhood,,,"Chronic intestinal pseudo-obstruction (CIPO) often leads to repeated hospitalizations and unnecessary surgeries due to misdiagnosis as mechanical obstruction. Early diagnosis redirects care toward essential nutritional and motility therapies. AI-driven NLP can rapidly detect recurrent obstruction patterns and negative surgical evaluations, prompting accurate diagnosis and appropriate clinical management."
Fanconi anemia,ORPHA:84,D61.01,Fanconi Anemia,Specific,0.9 to 9,0.6-1.0,Childhood,,,"Fanconi anemia, an inherited bone marrow failure syndrome, frequently remains undiagnosed until severe pancytopenia or leukemia emerge, overlooking early subtle congenital anomalies. Early identification allows timely bone marrow transplantation and cancer surveillance. AI-driven NLP can detect clinical patterns of aplastic anemia and congenital defects, prompting rapid diagnostic evaluation"
Diamond-Blackfan anemia,ORPHA:124,D61.09,Other constitutional aplastic anemia,Specific,0.9 to 9,0.5-0.7,Infancy,,,"Diamond-Blackfan anemia (DBA), a congenital pure red-cell aplasia, frequently misdiagnosed as nutritional anemia or prematurity-related anemia, risks severe complications. Early recognition via genetic tests or ADA levels allows timely steroid treatment and cancer surveillance. AI-driven analysis of persistent macrocytic anemia and congenital anomalies can accelerate accurate diagnosis and intervention"
Hemophilia A ,ORPHA:169802,D66,Hemophilia A,Specific,10 to 50,5,Infancy,,,"Severe hemophilia A, an X-linked bleeding disorder, is often recognized only after significant hemorrhages (e.g., post-circumcision). Diagnostic delay risks joint damage and severe complications. Early identification enables prophylactic factor VIII therapy. AI-driven detection of recurrent or prolonged infant bleeding patterns accelerates accurate diagnosis, significantly improving clinical outcomes"
Beta thalassemia major (Cooley's anemia),ORPHA:231214,D56.1,Beta-thalassemia,Specific,10 to 50,1,Infancy,,,"Severe hemophilia A, an X-linked bleeding disorder, is often recognized only after significant hemorrhages (e.g., post-circumcision). Diagnostic delay risks joint damage and severe complications. Early identification enables prophylactic factor VIII therapy. AI-driven detection of recurrent or prolonged infant bleeding patterns accelerates accurate diagnosis, significantly improving clinical outcomes"
Chronic granulomatous disease (CGD),ORPHA:379,D71,Functional disorders of polymorphonuclear neutrophils,Broad,0.9 to 9,0.5,Infancy,,,"Chronic granulomatous disease (CGD), an inherited disorder causing recurrent, unusual infections (abscesses, granulomas), is often misdiagnosed as common infections. Delayed recognition risks severe complications. Early diagnosis enables timely antimicrobial prophylaxis. AI-driven analysis can flag persistent infections by unusual pathogens (e.g., Serratia, Aspergillus), accelerating accurate immunodeficiency diagnosis"
Wiskott-Aldrich syndrome,ORPHA:906,D82.0,Wiskott-Aldrich syndrome,Specific,0.9 to 9,0.1-0.5,Infancy,,,"Wiskott-Aldrich syndrome, an X-linked immunodeficiency causing thrombocytopenia, eczema, and recurrent infections, is often misdiagnosed as isolated disorders (ITP, severe eczema). Early diagnosis enables timely curative transplantation. AI-driven NLP aggregation of clinical notes (bleeding, eczema, infections) rapidly identifies characteristic symptom clusters, accelerating critical interventions"
X-linked agammaglobulinemia (Bruton),ORPHA:47,D80.0,Isolated agammaglobulinemia,Specific,0.9 to 9,0.5,Infancy,,,X-linked agammaglobulinemia (XLA) often remains undiagnosed due to recurrent bacterial infections mismanaged as routine illnesses. Early identification prevents severe organ damage through timely immunoglobulin replacement therapy. AI-driven analysis of pediatric records highlighting frequent sinopulmonary infections after maternal antibodies wane swiftly facilitates accurate diagnosis and appropriate management
Familial hemophagocytic lymphohistiocytosis (HLH),ORPHA:540,D76.1,NOCARH syndrome,Specific,0.9 to 9,2,Infancy/Childhood,,,"Familial HLH, a genetic hyperinflammatory syndrome, is often misdiagnosed as severe infection or leukemia, delaying essential immunosuppressive therapy. Early recognition is critical for survival. AI-driven analysis of prolonged fever, cytopenias, and elevated ferritin in patient records rapidly identifies HLH, prompting timely lifesaving interventions"
Severe combined immunodeficiency (SCID),ORPHA:183660,D81.1,LIG4 syndrome,Specific,0.9 to 9,2,Neonatal,,,"Severe combined immunodeficiency frequently presents with severe infant infections and failure-to-thrive, mistakenly attributed to routine illnesses. Early detection via newborn screening or clinical clues (persistent thrush, vaccine reactions) allows curative transplant. AI-driven pattern recognition swiftly identifies missed cases, significantly improving survival"
CHARGE syndrome,ORPHA:138,Q87.8,Hereditary persistence of fetal hemoglobin-intellectual disability syndrome,Broad,10 to 50,10-12,Neonatal,,,"CHARGE syndrome, featuring coloboma, heart defects, choanal atresia, growth delay, genital, and ear anomalies, is frequently missed at birth due to incomplete feature presentation. Early diagnosis facilitates critical interventions (feeding, cochlear implants). AI-driven integration of multisystem neonatal anomalies rapidly identifies CHARGE, enabling timely multidisciplinary care."
VACTERL/VATER association,ORPHA:887,Q87.2,,Specific,10 to 50,2-10,Neonatal,,,"VACTERL association—a combination of vertebral, anal, cardiac, tracheoesophageal, renal, and limb anomalies—often goes unrecognized as infants undergo separate procedures. Early recognition allows coordinated multidisciplinary care. AI-driven aggregation of neonatal surgical records and anomaly descriptions rapidly identifies this syndrome, facilitating timely integrated interventions"
Bardet-Biedl syndrome (BBS),ORPHA:110,Q87.83,Hereditary persistence of fetal hemoglobin-intellectual disability syndrome,Broad,0.9 to 9,0.6-1.0,Childhood,,,"Bardet-Biedl syndrome, a ciliopathy causing retinal degeneration, obesity, polydactyly, and renal dysfunction, frequently experiences diagnostic delays as symptoms are evaluated separately. Early recognition supports critical visual rehabilitation and metabolic management. AI-driven synthesis of ophthalmologic, metabolic, renal, and developmental records swiftly identifies BBS, optimizing multidisciplinary care"
Stickler syndrome,ORPHA:828,Q87.0,SMARCA2-related blepharophimosis-intellectual disability syndrome,Broad,10 to 50,11-13,Childhood,,,"Stickler syndrome, involving high myopia, hearing impairment, cleft palate, and arthritis, often remains undiagnosed due to isolated symptom management. Early detection enables timely ophthalmic and auditory interventions. AI-driven NLP can integrate multisystem symptoms from clinical records, rapidly suggesting Stickler syndrome and preventing significant complications"
Sensenbrenner syndrome (cranioectodermal dysplasia),ORPHA:1515,Q87.5,Metaphyseal chondromatosis with D-2-hydroxyglutaric aciduria,Broad,0.9 to 9,<0.1,Neonatal,,,"Sensenbrenner syndrome, a rare ciliopathy characterized by skeletal dysplasia, kidney disease, and retinal degeneration, frequently escapes early recognition due to cross-specialty presentation. Early diagnosis enables proactive renal monitoring and transplant planning. AI-driven integration of skeletal, renal, and ophthalmic features expedites identification, ensuring timely multidisciplinary management"
Pseudoachondroplasia,ORPHA:750,Q77.8,Thanatophoric dysplasia,Specific,0.9 to 9,0.5-1,Childhood,,,"Inherited dwarfism often initially mistaken for familial short stature or hypochondroplasia. Diagnosis may be delayed until joint pain or deformities develop in mid-childhood. Early diagnosis is important for orthopedic management and family counseling. Subtle early signs (normal facial features, disproportionate short limbs, ligamentous laxity) might be picked up by AI reviewing growth data and orthopedic consultations."
Osteogenesis imperfecta (OI),ORPHA:666,Q78.0,High bone mass osteogenesis imperfecta,Specific,0.9 to 9,5-6.7,Infancy,,,Heritable bone fragility disorder can be misdiagnosed as child abuse or unexplained fractures in mild forms. Early genetic confirmation is critical to manage bone health and avoid wrongful abuse accusations. Clues like recurrent fractures with minimal trauma and dentinogenesis imperfecta in records could be detected by NLP to suggest OI.
Ehlers-Danlos syndrome (Classical type),ORPHA:287,Q79.61,Vascular Ehlers-Danlos-polymicrogyria syndrome,Specific,0.9 to 9,1-9,Childhood,,,"Rare connective tissue disorder with skin hyperextensibility and joint hypermobility often remains undiagnosed for years, dismissed as benign flexibility or separate orthopedic injuries. Early diagnosis helps manage pain and vascular risks (in some subtypes). Pattern recognition of frequent joint dislocations, chronic pain, and hyperelastic skin in the patient‚Äôs history via AI can facilitate diagnosis."
Ullrich congenital muscular dystrophy,ORPHA:75840,G71.2,Intermediate collagen VI-related muscular dystrophy,Specific,0.9 to 9,0.13,Infancy,,,"A severe early-onset collagen VI‚Äìrelated myopathy causing proximal muscle weakness, contractures, and distal hyperlaxity, often initially labeled as unspecified congenital myopathy until genetic testing clarifies the diagnosis. Early diagnosis guides respiratory surveillance and genetic counseling. The combination of neonatal hypotonia with later rigid spine and keloid scar tendency found in records can be detected by AI/NLP to pinpoint Ullrich CMD among undifferentiated congenital hypotonia."
Cleidocranial dysplasia,ORPHA:1452,Q74.0,Isolated humero-ulnar synostosis,Specific,0.9 to 9,0.1,Childhood,,,"Cleidocranial dysplasia, an autosomal dominant disorder characterized by absent clavicles and delayed dental eruption, frequently remains undiagnosed until late childhood. Early recognition ensures timely dental and orthopedic interventions. AI-driven detection of impacted teeth and hypermobile shoulders in clinical notes expedites accurate diagnosis and appropriate multidisciplinary care."
Pompe Disease (Infantile-onset),ORPHA:308552,E74.02,,Specific,0.9 to 9,2,Infancy,,,"Pompe disease (Infantile-onset), a lysosomal disorder causing severe hypotonia and hypertrophic cardiomyopathy, is often confused with other neonatal myopathies. Early enzyme replacement therapy significantly improves survival. AI-driven NLP analysis linking echocardiogram findings and motor delays can swiftly facilitate accurate diagnosis, enabling prompt therapeutic intervention."
Pitt-Hopkins syndrome,ORPHA:2896,Q87.0,SMARCA2-related blepharophimosis-intellectual disability syndrome,Broad,0.9 to 9,2.4-2.9,Infancy,,,"Pitt-Hopkins syndrome, characterized by neurodevelopmental delays, episodic hyperventilation, and distinctive facial features, is frequently misdiagnosed as nonspecific intellectual disability. Early genetic diagnosis enables targeted respiratory and developmental therapies. AI-driven pattern recognition of developmental delays and characteristic clinical features rapidly identifies the syndrome, prompting timely intervention."
Rett syndrome,ORPHA:778,F84.2,Atypical Rett syndrome,Specific,0.9 to 9,0.5,Infancy,,,"Rett syndrome, an X-linked neurodevelopmental disorder predominantly affecting girls, often misdiagnosed as autism or cerebral palsy due to developmental regression. Early recognition enables targeted therapies for seizures and communication. AI-driven NLP identification of stereotyped hand movements, speech regression, and slowed head growth accelerates accurate diagnosis and supportive care."
Angelman syndrome,ORPHA:72,Q93.51,16q22 deletion syndrome,Broad,0.9 to 9,5-8,Infancy,,,"Angelman syndrome, a rare neurogenetic disorder, frequently misdiagnosed as cerebral palsy or autism due to delayed milestones and speech absence. Early diagnosis informs critical seizure and sleep management. AI-driven digital phenotyping from clinical notes highlighting ataxia, characteristic demeanor, and speech impairment significantly accelerates syndrome identification."
Dravet syndrome,ORPHA:33069,G40.83,Female restricted epilepsy with intellectual disability,Specific,0.9 to 9,6.5,Infancy,,,"Dravet syndrome, severe infant-onset epilepsy frequently mislabeled as benign febrile seizures, experiences delayed genetic diagnosis leading to inappropriate treatments. Early SCN1A confirmation guides optimal therapeutic choices. AI-driven NLP analysis of prolonged febrile seizures and developmental regression rapidly identifies characteristic clinical patterns, prompting earlier accurate diagnosis."
Lennox-Gastaut syndrome (LGS),ORPHA:2382,G40.81,,Specific,10 to 50,0.1-0.2,Early childhood,,,"Lennox-Gastaut syndrome, a childhood-onset epileptic encephalopathy with diverse seizures and cognitive decline, often delayed after infantile spasms. Early diagnosis enables targeted seizure control and developmental support. AI-driven profiling of clinical seizures, EEG patterns, and cognitive delays in medical records accelerates accurate recognition and timely interventions."
Juvenile myoclonic epilepsy (JME),ORPHA:307,G40.B19,Benign adult familial myoclonic epilepsy,Specific,10 to 50,10,Adolescence,,,"Juvenile myoclonic epilepsy, a common adolescent-onset epilepsy, frequently remains undiagnosed, leading to suboptimal management. Identifying hallmark myoclonic jerks and generalized seizures permits precise therapy. AI-driven NLP analysis of stereotypical seizure descriptions in clinical notes swiftly facilitates accurate diagnosis, significantly improving clinical outcomes."
1p36 deletion syndrome,ORPHA:1606,Q93.5,16q22 deletion syndrome,Broad,10 to 50,20,Infancy,,,"1p36 deletion syndrome, a common terminal deletion causing hypotonia, seizures, and distinct dysmorphic features, is often misdiagnosed as cerebral palsy or nonspecific delays. Early genetic diagnosis enables targeted interventions. AI-driven NLP analysis of seizure histories and facial dysmorphisms in clinical narratives rapidly identifies this syndrome."
